"","V1","V2","V3","year","hr","uhr","presc_rate","population","white_pop","black_pop","other_pop","income","rural_urban","deaths"
"227","Sussex County","NJ",34037,"2015",16.0407295044809,4.18453813160372,61,143385,134901,3204,5280,86565,"1",13
"228","Union County","NJ",34039,"2015",15.9146684413933,3.255273090285,44.9,552949,376953,130897,45099,69594,"1",28
"229","Warren County","NJ",34041,"2015",81.2544946810995,14.9433553436505,75.4,107071,96917,4902,5252,70471,"2",12
"230","Bernalillo County","NM",35001,"2015",18.6678005627008,2.81498579913743,74.7,674959,571826,22828,80305,47725,"2",69
"231","Dona Ana County","NM",35013,"2015",7.02355701021225,1.40471140204245,49.2,213567,196704,4738,12125,38853,"2",11
"232","Rio Arriba County","NM",35039,"2015",5.05996053230785,0,90.2,39526,30711,340,8475,36098,"5",12
"233","Santa Fe County","NM",35049,"2015",15.5712622200558,3.38505700435995,89.8,147708,134315,1716,11677,54315,"2",18
"234","Albany County","NY",36001,"2015",30.1525133578876,9.40239663848109,50.3,308432,237441,42295,28696,59887,"2",26
"235","Bronx County","NY",36005,"2015",2.89815870317059,0.55203022917535,32.2,1449196,653051,634072,162073,34299,"1",101
"236","Broome County","NY",36007,"2015",11.6978099665341,1.01720086665514,70.7,196618,170940,11240,14438,46261,"2",23
"237","Chautauqua County","NY",36013,"2015",4.58677022574554,0.764461704290924,80.9,130811,122822,3495,4494,42993,"3",11
"238","Dutchess County","NY",36027,"2015",11.5165228230385,3.04849133551018,58,295228,241774,33427,20027,71904,"1",28
"239","Erie County","NY",36029,"2015",22.8613033976664,4.22554896923692,73.2,922957,738283,128201,56473,51247,"1",91
"240","Kings County","NY",36047,"2015",3.16197583107582,0.457153132203733,24.7,2624941,1294701,913837,416403,48201,"1",91
"241","Monroe County","NY",36055,"2015",28.0355865044697,6.00762567952922,52.3,749048,578076,121070,49902,52553,"1",67
"242","Nassau County","NY",36059,"2015",13.0175582590891,2.27991133351278,44.1,1359702,1029340,171697,158665,99465,"1",86
"243","New York County","NY",36061,"2015",21.9355970869527,3.65593284782545,42,1641168,1062083,297251,281834,72871,"1",60
"244","Niagara County","NY",36063,"2015",2.35269760307168,0,81.2,212522,187572,15057,9893,49449,"1",19
"245","Oneida County","NY",36065,"2015",15.9465574830298,1.29296412024566,64.2,232025,201418,15689,14918,48246,"2",24
"246","Onondaga County","NY",36067,"2015",18.792376274625,2.13549730393465,57.7,468275,377061,54985,36229,55092,"2",39
"247","Orange County","NY",36071,"2015",142.92153899186,28.902500464031,61.8,377130,307566,44972,24592,70848,"1",34
"248","Oswego County","NY",36075,"2015",1.66719461162702,0.833597305813508,57.9,119962,115569,1266,3127,47860,"2",11
"249","Queens County","NY",36081,"2015",2.44926582182751,0.601574061501495,26,2327228,1131723,481627,713878,57720,"1",59
"250","Rensselaer County","NY",36083,"2015",2.49842287056296,0,60,160101,139664,11783,8654,60709,"2",13
"251","Richmond County","NY",36085,"2015",17.0897252773916,2.53181115220616,48.9,473969,365291,55786,52892,73197,"1",21
"252","Rockland County","NY",36087,"2015",7.06624760746073,1.53614078423059,35.1,325491,252972,42832,29687,84855,"1",12
"253","Saratoga County","NY",36091,"2015",8.40187494472451,3.09542761121429,53.5,226140,211637,3887,10616,71496,"2",17
"254","Schenectady County","NY",36093,"2015",9.69255224285659,0.646170149523773,57,154758,122988,17722,14048,58114,"2",12
"255","Suffolk County","NY",36103,"2015",31.4439586541986,7.00979969998057,53.7,1497903,1273726,125867,98310,88663,"1",153
"256","Ulster County","NY",36111,"2015",3.33659578254293,1.11219859418098,68.5,179824,158259,12351,9214,58918,"2",21
"257","Westchester County","NY",36119,"2015",8.42840990852092,1.64456778702847,37,972900,721889,157523,93488,83958,"1",37
"258","Brunswick County","NC",37019,"2015",5.70860041428129,0.815514344897327,116.8,122622,105128,13411,4083,46859,"2",16
"259","Buncombe County","NC",37021,"2015",34.4134679282301,6.32891364197336,88.5,252808,226382,16377,10049,45167,"2",19
"260","Burke County","NC",37023,"2015",7.89141414141414,0,154.9,88704,76967,5546,6191,39360,"2",10
"261","Cleveland County","NC",37045,"2015",28.888613759234,9.28562585118237,139,96924,73746,20216,2962,39453,"3",10
"262","Craven County","NC",37049,"2015",21.2710414108502,7.73492414940006,128.6,103427,74347,22562,6518,47985,"2",14
"263","Cumberland County","NC",37051,"2015",59.8929298699863,11.6714427438948,96.6,325581,170481,124858,30242,44171,"2",21
"264","Durham County","NC",37063,"2015",30.2755071147442,4.65777032534526,54.4,300573,158962,116210,25401,52503,"2",14
"265","Forsyth County","NC",37067,"2015",33.4221874414093,5.43450202299338,83.9,368019,247283,100552,20184,45471,"2",20
"266","Gaston County","NC",37071,"2015",13.1229905420732,2.81206940187284,126.6,213366,170242,34711,8413,42429,"1",22
"267","Guilford County","NC",37081,"2015",16.4235974247799,1.73896913909434,84,517548,298920,177800,40828,45651,"2",27
"268","Iredell County","NC",37097,"2015",17.059626335357,0.588262977081274,108.8,169992,140833,20706,8453,52306,"1",11
"269","Johnston County","NC",37101,"2015",6.46088740288479,0,73.6,185733,148945,29903,6885,50512,"1",10
"270","Mecklenburg County","NC",37119,"2015",20.1264482818012,3.09637665873865,59.7,1033466,605178,336235,92053,56854,"1",58
"271","New Hanover County","NC",37129,"2015",23.1957356231921,3.63854676442229,114.4,219868,179019,31614,9235,50088,"2",29
"272","Onslow County","NC",37133,"2015",6.41598006768859,0.534665005640716,80.4,187033,143026,29829,14178,46335,"2",12
"273","Pender County","NC",37141,"2015",0,0,46.3,57680,46234,9405,2041,44828,"2",10
"274","Randolph County","NC",37151,"2015",6.31344131656296,0,76.1,142553,127727,9024,5802,41947,"2",15
"275","Rowan County","NC",37159,"2015",13.6669999496479,2.15794736047072,90.3,139021,111437,22987,4597,43069,"1",15
"276","Union County","NC",37179,"2015",39.5711921720987,8.09410748974746,73.2,222384,184284,27091,11009,65903,"1",15
"277","Wake County","NC",37183,"2015",12.5247804738672,1.27204801687714,58.6,1021974,702638,217612,101724,67309,"1",30
"278","Allen County","OH",39003,"2015",117.071298339891,23.9900201516169,99,104210,87247,12845,4118,44103,"2",13
"279","Ashtabula County","OH",39007,"2015",6.08865075499269,2.02955025166423,75,98544,92047,3640,2857,40544,"3",13
"280","Brown County","OH",39015,"2015",180.262407301768,25.0998288648032,96.1,43825,42722,382,721,45568,"1",19
"281","Butler County","OH",39017,"2015",17.8448246013546,2.92974732261046,85.1,375459,323255,31269,20935,57540,"1",103
"282","Clark County","OH",39023,"2015",195.85465522954,37.5510805139344,109.2,135815,118249,12248,5318,43625,"2",46
"283","Clermont County","OH",39025,"2015",2.9733734408373,0,88,201791,192932,2884,5975,60805,"1",78
